Length min	101.0	Coleoptera
Length 1%	307.0	Coleoptera
Length 25%	576.0	Coleoptera
Length median	633.0	Coleoptera
Length 75%	658.0	Coleoptera
Length 99%	1252.55	Coleoptera
Length max	1602.0	Coleoptera
N uniques	120546.0	Coleoptera
Sequence Entropy	11.7	Coleoptera
8mer Entropy	8.96	Coleoptera
16mer Entropy	11.55	Coleoptera
24mer Entropy	12.8	Coleoptera
32mer Entropy	13.33	Coleoptera
Length min	100.0	Lepidoptera
Length 1%	164.0	Lepidoptera
Length 25%	618.0	Lepidoptera
Length median	658.0	Lepidoptera
Length 75%	658.0	Lepidoptera
Length 99%	1475.0	Lepidoptera
Length max	1597.0	Lepidoptera
N uniques	349346.0	Lepidoptera
Sequence Entropy	12.76	Lepidoptera
8mer Entropy	8.14	Lepidoptera
16mer Entropy	10.08	Lepidoptera
24mer Entropy	11.46	Lepidoptera
32mer Entropy	12.43	Lepidoptera
Length min	101.0	Araneae
Length 1%	396.0	Araneae
Length 25%	583.0	Araneae
Length median	624.0	Araneae
Length 75%	658.0	Araneae
Length 99%	1201.0	Araneae
Length max	1552.0	Araneae
N uniques	52344.0	Araneae
Sequence Entropy	10.87	Araneae
8mer Entropy	8.62	Araneae
16mer Entropy	10.87	Araneae
24mer Entropy	12.06	Araneae
32mer Entropy	12.72	Araneae
Length min	133.0	Orthoptera
Length 1%	307.0	Orthoptera
Length 25%	594.0	Orthoptera
Length median	658.0	Orthoptera
Length 75%	658.0	Orthoptera
Length 99%	1545.0	Orthoptera
Length max	1554.0	Orthoptera
N uniques	9564.0	Orthoptera
Sequence Entropy	9.17	Orthoptera
8mer Entropy	8.82	Orthoptera
16mer Entropy	10.82	Orthoptera
24mer Entropy	11.79	Orthoptera
32mer Entropy	12.28	Orthoptera
Length min	105.0	Psocodea
Length 1%	373.64	Psocodea
Length 25%	558.0	Psocodea
Length median	582.0	Psocodea
Length 75%	614.0	Psocodea
Length 99%	936.0	Psocodea
Length max	1982.0	Psocodea
N uniques	10533.0	Psocodea
Sequence Entropy	9.26	Psocodea
8mer Entropy	8.72	Psocodea
16mer Entropy	10.27	Psocodea
24mer Entropy	10.83	Psocodea
32mer Entropy	11.07	Psocodea
Length min	195.0	Decapoda
Length 1%	350.0	Decapoda
Length 25%	573.0	Decapoda
Length median	633.0	Decapoda
Length 75%	658.0	Decapoda
Length 99%	1531.0	Decapoda
Length max	1599.0	Decapoda
N uniques	22907.0	Decapoda
Sequence Entropy	10.04	Decapoda
8mer Entropy	9.16	Decapoda
16mer Entropy	11.54	Decapoda
24mer Entropy	12.57	Decapoda
32mer Entropy	12.96	Decapoda
Length min	101.0	Hymenoptera
Length 1%	284.0	Hymenoptera
Length 25%	546.0	Hymenoptera
Length median	593.0	Hymenoptera
Length 75%	654.0	Hymenoptera
Length 99%	940.0	Hymenoptera
Length max	1608.0	Hymenoptera
N uniques	251783.0	Hymenoptera
Sequence Entropy	12.44	Hymenoptera
8mer Entropy	8.81	Hymenoptera
16mer Entropy	11.71	Hymenoptera
24mer Entropy	12.82	Hymenoptera
32mer Entropy	13.33	Hymenoptera
Length min	100.0	Trombidiformes
Length 1%	369.0	Trombidiformes
Length 25%	560.0	Trombidiformes
Length median	589.0	Trombidiformes
Length 75%	655.0	Trombidiformes
Length 99%	709.0	Trombidiformes
Length max	1551.0	Trombidiformes
N uniques	21197.0	Trombidiformes
Sequence Entropy	9.96	Trombidiformes
8mer Entropy	9.17	Trombidiformes
16mer Entropy	11.54	Trombidiformes
24mer Entropy	12.32	Trombidiformes
32mer Entropy	12.64	Trombidiformes
Length min	101.0	Mesostigmata
Length 1%	376.52	Mesostigmata
Length 25%	564.0	Mesostigmata
Length median	589.0	Mesostigmata
Length 75%	651.0	Mesostigmata
Length 99%	679.0	Mesostigmata
Length max	1557.0	Mesostigmata
N uniques	10614.0	Mesostigmata
Sequence Entropy	9.27	Mesostigmata
8mer Entropy	9.1	Mesostigmata
16mer Entropy	11.36	Mesostigmata
24mer Entropy	12.08	Mesostigmata
32mer Entropy	12.35	Mesostigmata
Length min	149.0	Trichoptera
Length 1%	332.17	Trichoptera
Length 25%	597.0	Trichoptera
Length median	658.0	Trichoptera
Length 75%	658.0	Trichoptera
Length 99%	699.0	Trichoptera
Length max	859.0	Trichoptera
N uniques	12918.0	Trichoptera
Sequence Entropy	9.47	Trichoptera
8mer Entropy	8.83	Trichoptera
16mer Entropy	11.18	Trichoptera
24mer Entropy	12.25	Trichoptera
32mer Entropy	12.74	Trichoptera
Length min	120.0	Sarcoptiformes
Length 1%	366.0	Sarcoptiformes
Length 25%	564.0	Sarcoptiformes
Length median	588.0	Sarcoptiformes
Length 75%	632.0	Sarcoptiformes
Length 99%	940.0	Sarcoptiformes
Length max	1554.0	Sarcoptiformes
N uniques	19275.0	Sarcoptiformes
Sequence Entropy	9.87	Sarcoptiformes
8mer Entropy	9.24	Sarcoptiformes
16mer Entropy	11.63	Sarcoptiformes
24mer Entropy	12.45	Sarcoptiformes
32mer Entropy	12.72	Sarcoptiformes
Length min	102.0	Amphipoda
Length 1%	313.0	Amphipoda
Length 25%	585.0	Amphipoda
Length median	638.0	Amphipoda
Length 75%	658.0	Amphipoda
Length 99%	1493.0	Amphipoda
Length max	1569.0	Amphipoda
N uniques	12742.0	Amphipoda
Sequence Entropy	9.45	Amphipoda
8mer Entropy	9.34	Amphipoda
16mer Entropy	11.8	Amphipoda
24mer Entropy	12.66	Amphipoda
32mer Entropy	12.97	Amphipoda
Length min	107.0	Entomobryomorpha
Length 1%	372.81	Entomobryomorpha
Length 25%	561.0	Entomobryomorpha
Length median	588.0	Entomobryomorpha
Length 75%	631.0	Entomobryomorpha
Length 99%	658.0	Entomobryomorpha
Length max	1537.0	Entomobryomorpha
N uniques	26682.0	Entomobryomorpha
Sequence Entropy	10.19	Entomobryomorpha
8mer Entropy	8.56	Entomobryomorpha
16mer Entropy	10.3	Entomobryomorpha
24mer Entropy	11.09	Entomobryomorpha
32mer Entropy	11.44	Entomobryomorpha
Length min	100.0	Hemiptera
Length 1%	279.0	Hemiptera
Length 25%	552.0	Hemiptera
Length median	588.0	Hemiptera
Length 75%	655.0	Hemiptera
Length 99%	1022.0	Hemiptera
Length max	1573.0	Hemiptera
N uniques	87280.0	Hemiptera
Sequence Entropy	11.38	Hemiptera
8mer Entropy	9.03	Hemiptera
16mer Entropy	11.5	Hemiptera
24mer Entropy	12.49	Hemiptera
32mer Entropy	12.93	Hemiptera
Length min	100.0	Diptera
Length 1%	414.0	Diptera
Length 25%	564.0	Diptera
Length median	588.0	Diptera
Length 75%	632.0	Diptera
Length 99%	680.0	Diptera
Length max	1587.0	Diptera
N uniques	740201.0	Diptera
Sequence Entropy	13.51	Diptera
8mer Entropy	8.58	Diptera
16mer Entropy	10.94	Diptera
24mer Entropy	12.27	Diptera
32mer Entropy	12.99	Diptera
Length min	180.0	Ephemeroptera
Length 1%	363.0	Ephemeroptera
Length 25%	588.0	Ephemeroptera
Length median	643.0	Ephemeroptera
Length 75%	658.0	Ephemeroptera
Length 99%	674.0	Ephemeroptera
Length max	1570.0	Ephemeroptera
N uniques	11417.0	Ephemeroptera
Sequence Entropy	9.34	Ephemeroptera
8mer Entropy	9.04	Ephemeroptera
16mer Entropy	11.23	Ephemeroptera
24mer Entropy	12.14	Ephemeroptera
32mer Entropy	12.49	Ephemeroptera
