Length min	170.0	boldANML_100
Length 1%	171.0	boldANML_100
Length 25%	179.0	boldANML_100
Length median	181.0	boldANML_100
Length 75%	181.0	boldANML_100
Length 99%	181.0	boldANML_100
Length max	207.0	boldANML_100
N uniques	739345.0	boldANML_100
Sequence Entropy	13.51	boldANML_100
8mer Entropy	8.26	boldANML_100
16mer Entropy	11.02	boldANML_100
24mer Entropy	12.4	boldANML_100
32mer Entropy	13.1	boldANML_100
Length min	170.0	boldANML_97
Length 1%	171.0	boldANML_97
Length 25%	180.0	boldANML_97
Length median	181.0	boldANML_97
Length 75%	181.0	boldANML_97
Length 99%	184.0	boldANML_97
Length max	207.0	boldANML_97
N uniques	254906.0	boldANML_97
Sequence Entropy	12.45	boldANML_97
8mer Entropy	8.37	boldANML_97
16mer Entropy	11.25	boldANML_97
24mer Entropy	12.6	boldANML_97
32mer Entropy	13.24	boldANML_97
Length min	170.0	boldANML_98
Length 1%	171.0	boldANML_98
Length 25%	180.0	boldANML_98
Length median	181.0	boldANML_98
Length 75%	181.0	boldANML_98
Length 99%	184.0	boldANML_98
Length max	207.0	boldANML_98
N uniques	303380.0	boldANML_98
Sequence Entropy	12.62	boldANML_98
8mer Entropy	8.34	boldANML_98
16mer Entropy	11.18	boldANML_98
24mer Entropy	12.53	boldANML_98
32mer Entropy	13.19	boldANML_98
Length min	170.0	boldANML_99
Length 1%	171.0	boldANML_99
Length 25%	180.0	boldANML_99
Length median	181.0	boldANML_99
Length 75%	181.0	boldANML_99
Length 99%	181.0	boldANML_99
Length max	207.0	boldANML_99
N uniques	424023.0	boldANML_99
Sequence Entropy	12.96	boldANML_99
8mer Entropy	8.33	boldANML_99
16mer Entropy	11.14	boldANML_99
24mer Entropy	12.5	boldANML_99
32mer Entropy	13.16	boldANML_99
Length min	250.0	boldDerep1_100
Length 1%	315.0	boldDerep1_100
Length 25%	576.0	boldDerep1_100
Length median	630.0	boldDerep1_100
Length 75%	658.0	boldDerep1_100
Length 99%	1464.0	boldDerep1_100
Length max	1600.0	boldDerep1_100
N uniques	1718762.0	boldDerep1_100
Sequence Entropy	14.36	boldDerep1_100
8mer Entropy	9.3	boldDerep1_100
16mer Entropy	12.26	boldDerep1_100
24mer Entropy	13.22	boldDerep1_100
32mer Entropy	13.59	boldDerep1_100
Length min	250.0	boldDerep1_97
Length 1%	312.0	boldDerep1_97
Length 25%	594.0	boldDerep1_97
Length median	655.0	boldDerep1_97
Length 75%	658.0	boldDerep1_97
Length 99%	1546.0	boldDerep1_97
Length max	1599.0	boldDerep1_97
N uniques	337034.0	boldDerep1_97
Sequence Entropy	12.73	boldDerep1_97
8mer Entropy	9.36	boldDerep1_97
16mer Entropy	12.37	boldDerep1_97
24mer Entropy	13.29	boldDerep1_97
32mer Entropy	13.63	boldDerep1_97
Length min	250.0	boldDerep1_98
Length 1%	310.0	boldDerep1_98
Length 25%	592.0	boldDerep1_98
Length median	655.0	boldDerep1_98
Length 75%	658.0	boldDerep1_98
Length 99%	1545.0	boldDerep1_98
Length max	1599.0	boldDerep1_98
N uniques	381051.0	boldDerep1_98
Sequence Entropy	12.85	boldDerep1_98
8mer Entropy	9.36	boldDerep1_98
16mer Entropy	12.37	boldDerep1_98
24mer Entropy	13.28	boldDerep1_98
32mer Entropy	13.63	boldDerep1_98
Length min	250.0	boldDerep1_99
Length 1%	308.0	boldDerep1_99
Length 25%	588.0	boldDerep1_99
Length median	653.0	boldDerep1_99
Length 75%	658.0	boldDerep1_99
Length 99%	1542.0	boldDerep1_99
Length max	1599.0	boldDerep1_99
N uniques	498034.0	boldDerep1_99
Sequence Entropy	13.12	boldDerep1_99
8mer Entropy	9.36	boldDerep1_99
16mer Entropy	12.37	boldDerep1_99
24mer Entropy	13.29	boldDerep1_99
32mer Entropy	13.63	boldDerep1_99
