Rank,Group,bold,ncbiNB,ncbiOB
Phylum,allShared,0.998,0.997,1
Phylum,set13,0.001,0.002,NA
Phylum,uniq_bold,0,NA,NA
Phylum,uniq_ncbiNB,NA,0.001,NA
Class,allShared,0.998,0.995,1
Class,set13,0.002,0.004,NA
Class,set23,NA,0,0
Class,uniq_bold,0.001,NA,NA
Class,uniq_ncbiNB,NA,0.001,NA
Order,allShared,0.971,0.959,0.986
Order,set12,0.003,NA,0
Order,set13,0.004,0.009,NA
Order,set23,NA,0.029,0.014
Order,uniq_bold,0.022,NA,NA
Order,uniq_ncbiNB,NA,0.003,NA
Order,uniq_ncbiOB,NA,NA,0
Family,allShared,0.939,0.867,0.92
Family,set12,0.002,NA,0.002
Family,set13,0.022,0.039,NA
Family,set23,NA,0.074,0.078
Family,uniq_bold,0.038,NA,NA
Family,uniq_ncbiNB,NA,0.02,NA
Family,uniq_ncbiOB,NA,NA,0.001
Genus,allShared,0.716,0.503,0.633
Genus,set12,0.043,NA,0.051
Genus,set13,0.103,0.116,NA
Genus,set23,NA,0.309,0.291
Genus,uniq_bold,0.139,NA,NA
Genus,uniq_ncbiNB,NA,0.071,NA
Genus,uniq_ncbiOB,NA,NA,0.026
Species,allShared,0.393,0.394,0.477
Species,set12,0.156,NA,0.247
Species,set13,0.2,0.292,NA
Species,set23,NA,0.085,0.121
Species,uniq_bold,0.25,NA,NA
Species,uniq_ncbiNB,NA,0.229,NA
Species,uniq_ncbiOB,NA,NA,0.155
